Alias	BioSample	Experiment	INSDC_center_alias	INSDC_last_update	Library_Name	MBases	MBytes	Run	SRA_Sample	SRA_accession	Sample_Name	Title	replicate	Assay_Type	AvgSpotLen	BioProject	Broker_name	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	ENA_checklist	INSDC_center_name	INSDC_first_public	INSDC_status	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	cell_line	cell_type	organism	organism_part
E-MTAB-5984:Sample 1	SAMEA104216894	ERX2155106	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:24Z	Sample 1_p	4298	2704	ERR2097730	ERS1875912	ERS1875912	SAMEA104216894 ERS1875912	Sample 1	1	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 1	SAMEA104216894	ERX2155106	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:24Z	Sample 1_p	4659	2981	ERR2097731	ERS1875912	ERS1875912	SAMEA104216894 ERS1875912	Sample 1	1	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 2	SAMEA104216895	ERX2155107	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:24Z	Sample 2_p	2337	1557	ERR2097732	ERS1875913	ERS1875913	SAMEA104216895 ERS1875913	Sample 2	1	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 2	SAMEA104216895	ERX2155107	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:24Z	Sample 2_p	2445	1633	ERR2097733	ERS1875913	ERS1875913	SAMEA104216895 ERS1875913	Sample 2	1	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 3	SAMEA104216896	ERX2155108	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:24Z	Sample 3_p	3935	2606	ERR2097734	ERS1875914	ERS1875914	SAMEA104216896 ERS1875914	Sample 3	1	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 3	SAMEA104216896	ERX2155108	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:24Z	Sample 3_p	4466	2959	ERR2097735	ERS1875914	ERS1875914	SAMEA104216896 ERS1875914	Sample 3	1	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 4	SAMEA104216897	ERX2155109	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:24Z	Sample 4_p	2016	1300	ERR2097736	ERS1875915	ERS1875915	SAMEA104216897 ERS1875915	Sample 4	2	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 4	SAMEA104216897	ERX2155109	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:24Z	Sample 4_p	1806	1185	ERR2097737	ERS1875915	ERS1875915	SAMEA104216897 ERS1875915	Sample 4	2	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 5	SAMEA104216898	ERX2155110	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:25Z	Sample 5_p	2394	1608	ERR2097738	ERS1875916	ERS1875916	SAMEA104216898 ERS1875916	Sample 5	2	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 5	SAMEA104216898	ERX2155110	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:25Z	Sample 5_p	2373	1597	ERR2097739	ERS1875916	ERS1875916	SAMEA104216898 ERS1875916	Sample 5	2	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 6	SAMEA104216899	ERX2155111	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:25Z	Sample 6_p	1527	1019	ERR2097740	ERS1875917	ERS1875917	SAMEA104216899 ERS1875917	Sample 6	2	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 6	SAMEA104216899	ERX2155111	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:25Z	Sample 6_p	1591	1064	ERR2097741	ERS1875917	ERS1875917	SAMEA104216899 ERS1875917	Sample 6	2	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 7	SAMEA104216900	ERX2155112	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:25Z	Sample 7_p	4214	2675	ERR2097742	ERS1875918	ERS1875918	SAMEA104216900 ERS1875918	Sample 7	3	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
E-MTAB-5984:Sample 7	SAMEA104216900	ERX2155112	Toxicogenomics Department Maastricht Universtiy	2017-08-16T18:12:25Z	Sample 7_p	4019	2596	ERR2097743	ERS1875918	ERS1875918	SAMEA104216900 ERS1875918	Sample 7	3	RNA-Seq	200	PRJEB22198	ArrayExpress	Jarno Wolters (Toxicogenomics)	public	sra	ncbi	ERC000011	Toxicogenomics Department Maastricht Universtiy	2018-01-31T17:01:48Z	public	100	Illumina HiSeq 2500	PAIRED	PolyA	TRANSCRIPTOMIC	2018-02-27	Homo sapiens	ILLUMINA	2018-02-27	ERP024544	mixed pool of Hu8119, Hu1591 and Hu1540 cell lines	hepatocyte	Homo sapiens	liver
